Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-190-087-;99350144544;3616303398309;MF - FALSE LASH EFFECT SERUM CLEAR;4338;DIS;DIS;COTY;026;301;02;7;5
0-362-120-;2036212000000;2036212000000;PAP ORIGINAL DEO SPLASH 75ML TST;4277;DIS;DIS;COTY;026;301;03;79;30
0-191-031-005;99350194666;3616305243287;MF -2000 CAL PINK FIZZ 005;4219;DIS;DIS;COTY;026;301;30;89;312
0-112-900-030;99350212453;3616305714831;RIM - MULTITSK BASE-CORR - 030;4269;DIS;DIS;COTY;026;301;40;93;3273
0-109-176-100;99350182097;3614220077611;RIM - OMG BRILLO LABIAL - 100;4353;DIS;DIS;COTY;026;301;50;50;594
0-109-523-210;99350105521;3616302737796;RIM - PRVCLIPS LAB LIQ - 210;5066;DIS;DIS;COTY;026;301;60;97;2697
0-112-929-001;99350170535;3616301524502;RIM - HIGHLIGHTER POLVO - 001;4253;DIS;DIS;COTY;026;301;70;10;1653
0-061-217-536;99350212321;074170463859;SH - CT MY SHEER  536;5090;DIS;DIS;COTY;026;301;80;3;1364
0-191-011-015;33400004015;8005610629612;MF - LIPFINITY VELVET MATTE 015 NUDE;4312;DIS;DIS;COTY;026;301;90;39;96
0-061-535-573;99350128241;074170454291;SH - ID RENOVATION BLACK TO BLACK 573;5049;DIS;DIS;COTY;026;302;02;28;406
0-293-558-003;26277-;7891350039726;RISQUE - CRIPTO ROSA;4149C1         ;DIS;DIS;COTY;026;302;03;87;644
0-112-189-006;99350197767;3616305400994;RIM - MULTITSK BASE - 006;4102;DIS;DIS;COTY;026;302;04;90;229
0-111-527-;99350091617;3616302476725;RIM - WONDER GEL MASC CEJAS;4233;DIS;DIS;COTY;026;302;20;10;2985
0-192-202-001;99350212065;3616305711694;MF - MIR PURE LIQ FND FAIR 01;4170;DIS;DIS;COTY;026;302;30;39;11
0-062-120-;32017951000;3412242503350;PAP ORIGINAL DNS 75ML;5134;DIS;DIS;COTY;026;302;60;29;117
0-112-401-160;99350228000;3616306361812;RIM - KF BASE MATTE - 160;5010;DIS;DIS;COTY;026;302;70;42;604
0-109-523-310;99350105535;3616302737932;RIM - PRVCLIPS LAB LIQ - 310;4241;DIS;DIS;COTY;026;302;80;84;3507
